YEAR,TEAM NO 1,TEAM 1,SEED 1,TEAM NO 2,TEAM 2,SEED 2,CURRENT ROUND,kp_pre_PRESEASON KADJ EM_DIFF,rppf_RADJ EM_DIFF,kp_pre_KADJ EM CHANGE_DIFF,rppf_pre_RPPF RATING CHANGE RANK_DIFF,kp_pre_PRESEASON KADJ O_DIFF,z_SEED LIST_DIFF,bart_TALENT_DIFF,ap_AP VOTES_DIFF,bart_BADJ O_DIFF,rppf_RADJ O_DIFF,shoot_FARTHER TWOS FG%_DIFF,teamrank_CONSISTENCY TR RATING_DIFF,SEED DIFF,bart_WAB_DIFF,TEAM 1 WIN,WIN ALL FIVE PRIOR 1,WIN ALL FIVE PRIOR 2
2026,1159,Texas Tech,5,1215,Akron,12,64,15.93,13.7,-3.5,14,8.099999999999994,-29,28.875,373.0,8.5,7.0,-0.1999999999999957,2.3999999999999986,-7,3.43,,0,1
2026,1214,Alabama,4,1200,Hofstra,13,64,22.23,16.8,-6.0,130,15.799999999999995,-38,73.355,,12.400000000000006,16.19999999999999,6.699999999999996,-0.9000000000000004,-9,7.4,,0,1
2026,1163,Tennessee,6,1167,SMU,11,64,7.640000000000001,8.0,0.29,4,0.2999999999999971,-22,15.458999999999996,108.0,0.1000000000000085,-2.0,-7.699999999999996,-2.3999999999999986,-5,3.5,,0,0
2026,1163,Tennessee,6,1185,Miami OH,11,64,22.95,19.0,-5.19,48,9.0,-23,48.562,12.0,2.9000000000000057,4.299999999999997,-7.0,-0.3999999999999986,-5,0.7999999999999998,,0,0
2026,1150,Virginia,3,1148,Wright St.,14,64,17.4,25.8,7.27,59,9.0,-45,53.614,,8.699999999999989,10.900000000000006,4.899999999999999,0.7999999999999989,-11,8.4,,0,1
2026,1191,Kentucky,7,1169,Santa Clara,10,64,22.84,2.1000000000000014,-20.76,234,11.299999999999995,-12,65.076,2.0,-9.0,-3.4000000000000057,-9.200000000000005,0.0,-3,1.6,,0,0
2026,1194,Iowa St.,2,1162,Tennessee St.,15,64,30.52,35.2,3.73,12,13.700000000000005,-52,47.178,,16.299999999999997,15.0,2.3000000000000043,1.0,-13,8.5,,0,1
2026,1207,Duke,1,1176,Ohio St.,8,32,6.050000000000001,16.7,10.61,-124,2.200000000000003,-30,22.215000000000003,1413.0,4.200000000000003,3.700000000000003,-7.5,1.5999999999999996,-7,8.5,,1,0
2026,1207,Duke,1,1164,TCU,9,32,14.05,21.7,7.27,-72,10.900000000000006,-33,40.81,1401.0,9.600000000000009,12.299999999999995,1.0,0.4000000000000003,-8,7.2,,1,0
2026,1193,Kansas,4,1165,St. John's,5,32,-2.030000000000001,-2.099999999999998,0.56,26,-2.4000000000000057,-3,-12.236000000000004,-357.0,-9.299999999999995,-1.8999999999999917,-1.0,0.3000000000000007,-1,-2.5,,0,1
2026,1183,Michigan St.,3,1188,Louisville,6,32,-3.419999999999998,3.0,6.3,-48,-6.299999999999997,-14,29.674,721.0,-1.7000000000000028,-0.2999999999999971,-2.0999999999999943,-0.5999999999999996,-3,1.5,,0,0
2026,1183,Michigan St.,3,1166,South Florida,11,32,14.150000000000002,12.0,-2.2300000000000004,4,6.799999999999997,-37,37.966,,7.599999999999994,6.200000000000003,6.400000000000006,1.4000000000000004,-8,3.2,,0,1
2026,1208,Connecticut,2,1156,UCLA,7,32,3.379999999999999,5.5,2.83,-93,4.399999999999992,-22,13.985,994.0,0.0,-2.200000000000003,1.1000000000000014,1.5999999999999996,-5,6.7,,0,0
2026,1208,Connecticut,2,1157,UCF,10,32,15.7,12.900000000000002,-2.87,33,10.899999999999991,-32,42.17000000000001,1025.0,7.399999999999991,1.0999999999999943,4.0,1.5999999999999996,-8,4.6,,0,0
2026,1206,Florida,1,1209,Clemson,8,32,9.59,15.199999999999996,4.96,15,6.0,-25,-2.2010000000000005,1212.0,8.900000000000006,10.200000000000005,-2.299999999999997,3.299999999999999,-7,2.1,,0,0
2026,1206,Florida,1,1195,Iowa,9,32,13.19,12.099999999999998,-1.84,19,7.200000000000003,-32,27.39,1218.0,3.799999999999997,5.0,-0.5,1.1999999999999993,-8,5.72,,0,0
2026,1181,Nebraska,4,1153,Vanderbilt,5,32,-6.689999999999998,-1.7000000000000028,5.339999999999999,-13,-2.5,-4,6.494,151.0,-6.1000000000000085,-8.799999999999997,-5.799999999999997,-1.5,-1,-1.2000000000000002,,0,0
2026,1196,Illinois,3,1180,North Carolina,6,32,7.580000000000002,11.5,3.68,-86,4.400000000000006,-12,-0.7790000000000035,313.0,13.599999999999994,10.099999999999994,-2.5,1.3999999999999986,-3,4.6,,0,0
2026,1196,Illinois,3,1152,VCU,11,32,13.11,15.4,1.79,-14,11.900000000000006,-35,41.93899999999999,789.0,13.700000000000005,11.900000000000006,-3.700000000000003,3.9,-8,2.9,,0,1
2026,1199,Houston,2,1170,Saint Mary's,7,32,16.47,10.900000000000002,-6.11,76,8.299999999999997,-21,44.979000000000006,1101.0,10.799999999999995,4.900000000000006,2.199999999999996,1.1999999999999993,-5,4.6,,0,0
2026,1199,Houston,2,1160,Texas A&M,10,32,12.27,15.200000000000005,2.49,16,5.299999999999997,-35,52.42700000000001,1211.0,8.099999999999994,4.299999999999997,1.3999999999999986,-2.200000000000001,-8,4.1,,0,0
2026,1213,Arizona,1,1151,Villanova,8,32,8.450000000000001,18.6,9.239999999999998,-79,6.399999999999992,-28,9.756,1362.0,10.700000000000005,8.200000000000017,4.399999999999999,-1.0,-7,6.8,,1,0
2026,1213,Arizona,1,1154,Utah St.,9,32,6.370000000000001,17.700000000000003,10.53,-34,2.0,-31,47.048,1344.0,7.599999999999994,6.500000000000014,2.699999999999996,-4.6,-8,7.8,,1,0
2026,1212,Arkansas,4,1149,Wisconsin,5,32,-1.610000000000003,2.1999999999999997,4.26,-8,-2.0999999999999943,-4,41.90200000000001,358.0,0.7999999999999972,2.6000000000000085,-5.900000000000006,-0.5,-1,0.3999999999999999,,1,0
2026,1203,Gonzaga,3,1211,BYU,6,32,2.84,4.599999999999998,2.01,-117,-0.7000000000000028,-13,-12.168,767.0,0.8000000000000114,-4.5,4.0,2.1000000000000014,-3,1.6,,0,0
2026,1203,Gonzaga,3,1179,North Carolina St.,11,32,7.370000000000001,8.599999999999998,1.13,-45,5.5,-30,-26.424,827.0,-3.5999999999999943,-3.0,12.299999999999995,-0.0999999999999996,-8,3.4,,0,0
2026,1203,Gonzaga,3,1161,Texas,11,32,7.77,9.099999999999998,1.29,-87,6.5,-31,-19.187000000000005,817.0,-0.5999999999999943,-3.1999999999999886,4.600000000000001,2.8000000000000007,-8,4.2,,0,0
2026,1173,Purdue,2,1186,Miami FL,7,32,18.27,11.000000000000004,-7.750000000000001,80,14.400000000000006,-19,-21.483000000000004,802.0,13.199999999999989,10.499999999999986,4.299999999999997,3.5,-5,4.4,,0,0
2026,1173,Purdue,2,1182,Missouri,10,32,9.009999999999998,16.300000000000004,6.8,-87,6.599999999999994,-31,-7.100999999999999,910.0,15.899999999999991,12.499999999999986,9.4,0.8999999999999986,-8,9.03,,0,0
2026,1184,Michigan,1,1204,Georgia,8,32,7.34,17.4,9.78,-100,2.5999999999999943,-29,8.832,1300.0,2.4000000000000057,2.1999999999999886,0.6999999999999957,0.3000000000000007,-7,8.600000000000001,,0,0
2026,1184,Michigan,1,1171,Saint Louis,9,32,12.18,19.9,7.1000000000000005,-26,5.5,-32,47.93900000000001,1307.0,11.900000000000006,7.5,3.899999999999999,0.0,-8,10.7,,0,0
2026,1214,Alabama,4,1159,Texas Tech,5,32,-3.169999999999998,0.5,3.66,25,-1.4000000000000057,-5,31.88000000000001,62.0,2.799999999999997,4.799999999999983,0.7999999999999972,-2.1,-1,1.4000000000000004,,0,0
2026,1150,Virginia,3,1163,Tennessee,6,32,-11.1,1.0,11.79,-83,-2.3999999999999915,-9,-5.9339999999999975,791.0,0.8999999999999915,1.7999999999999972,6.399999999999999,2.3999999999999986,-3,3.4000000000000004,,0,0
2026,1150,Virginia,3,1167,SMU,11,32,-3.459999999999999,9.0,12.08,-79,-2.0999999999999943,-31,9.525,899.0,1.0,-0.2000000000000028,-1.2999999999999972,0.0,-8,6.9,,0,0
2026,1150,Virginia,3,1185,Miami OH,11,32,11.85,20.0,6.6,-35,6.6000000000000085,-32,42.628,803.0,3.799999999999997,6.099999999999994,-0.6000000000000014,2.0,-8,4.2,,0,0
2026,1194,Iowa St.,2,1191,Kentucky,7,32,-4.800000000000001,11.299999999999995,15.739999999999998,-185,-6.399999999999992,-18,-34.623,1092.0,5.900000000000006,3.200000000000003,0.3000000000000042,0.9000000000000004,-5,2.2,,0,0
2026,1194,Iowa St.,2,1169,Santa Clara,10,32,18.04,13.4,-5.02,49,4.900000000000006,-30,30.453000000000003,1094.0,-3.0999999999999943,-0.2000000000000028,-8.899999999999999,0.9000000000000004,-8,3.8,,0,0
2026,1207,Duke,1,1193,Kansas,4,16,4.93,15.299999999999995,9.53,-134,6.5,-14,33.313,915.0,13.400000000000006,9.799999999999995,4.5,0.0999999999999996,-3,6.1000000000000005,,1,0
2026,1207,Duke,1,1165,St. John's,5,16,2.8999999999999986,13.2,10.09,-108,4.099999999999994,-17,21.077,558.0,4.1000000000000085,7.900000000000006,3.5,0.4000000000000003,-4,3.6000000000000005,,1,1
2026,1206,Florida,1,1181,Nebraska,4,16,14.25,8.399999999999999,-6.619999999999999,54,7.099999999999994,-9,-0.7689999999999984,532.0,4.6000000000000085,8.0,7.100000000000001,1.0,-3,0.7000000000000002,,0,0
2026,1206,Florida,1,1153,Vanderbilt,5,16,7.560000000000002,6.699999999999996,-1.2800000000000002,41,4.599999999999994,-13,5.725000000000001,683.0,-1.5,-0.7999999999999972,1.3000000000000045,-0.5,-4,-0.5,,0,0
2026,1213,Arizona,1,1212,Arkansas,4,16,3.7900000000000023,11.6,7.819999999999999,-89,3.5999999999999943,-14,-7.0190000000000055,622.0,2.299999999999997,-0.5,9.0,-4.0,-3,6.6,,1,1
2026,1213,Arizona,1,1149,Wisconsin,5,16,2.18,13.8,12.079999999999998,-97,1.5,-18,34.883,980.0,3.0999999999999943,2.1000000000000085,3.0999999999999943,-4.5,-4,7.0,,1,0
2026,1184,Michigan,1,1214,Alabama,4,16,3.5799999999999983,11.799999999999995,8.3,-83,-0.5,-11,-3.703000000000003,872.0,-1.5999999999999943,-2.5999999999999943,-4.5,2.700000000000001,-3,6.1000000000000005,,0,0
2026,1184,Michigan,1,1159,Texas Tech,5,16,0.4100000000000001,12.299999999999995,11.96,-58,-1.9000000000000057,-16,28.177000000000007,934.0,1.2000000000000028,2.1999999999999886,-3.700000000000003,0.6000000000000014,-4,7.500000000000001,,0,0
